Buffer, Bandwidth, PreviousQuality, PreviousBandwidth, Quality
4163,3342,3,4407,3
3310,2357,3,3342,2
3937,1948,2,2357,2
4298,2983,2,1948,3
3114,4017,3,2983,2
4267,526,2,4017,3
267,1482,3,526,1
2000,1481,1,1482,1
3360,2433,1,1481,2
4027,1890,2,2433,2
4340,4290,2,1890,3
4096,1633,3,4290,2
4160,144,2,1633,2
160,771,2,144,1
2000,1219,1,771,1
3243,2857,1,1219,2
4094,2433,2,2857,2
4761,5345,2,2433,3
4940,10379,3,5345,3
5953,7136,3,10379,3
6564,8771,3,7136,4
6503,801,4,8771,4
2503,784,4,801,1
3384,1701,1,784,2
3521,4916,2,1701,2
4811,3686,2,4916,3
4216,3267,3,3686,2
5198,5523,2,3267,3
5432,4710,3,5523,3
5379,2990,3,4710,3
4203,3821,3,2990,2
5318,5458,2,3821,3
5532,16344,3,5458,3
6869,5771,3,16344,4
5789,6165,4,5771,3
6197,5432,3,6165,3
6403,4415,3,5432,3
6220,5689,3,4415,3
6503,5291,3,5689,3
6664,4922,3,5291,4
5070,5052,4,4922,3
5149,9238,3,5052,3
6053,3876,3,9238,3
5579,4275,3,3876,3
5328,3873,3,4275,3
4852,5282,3,3873,3
5011,7494,3,5282,3
5683,5735,3,7494,3
5979,10090,3,5735,3
6968,14044,3,10090,4
7643,12198,4,14044,4
8133,16278,4,12198,4
8976,15138,4,16278,4
9740,15338,4,15138,5
9814,7526,5,15338,5
7994,20938,5,7526,4
9073,15735,4,20938,5
9193,16177,5,15735,5
9362,7354,5,16177,5
7455,8160,5,7354,4
7248,12621,4,8160,4
7785,6145,4,12621,4
6886,7123,4,6145,4
6371,5879,4,7123,4
5346,8909,4,5879,3
6213,13844,3,8909,4
6871,2813,4,13844,4
2871,5828,4,2813,2
4256,7915,2,5828,3
4994,8411,3,7915,3
5800,8007,3,8411,3
6551,7173,3,8007,4
6053,13155,4,7173,4
6646,10361,4,13155,4
0,20331,1,0,1
2000,20331,1,20331,1
4000,20331,1,20331,1
6000,18556,1,20331,1
7656,18556,1,18556,1
9313,18556,1,18556,1
10970,19544,1,18556,1
12629,24773,1,19544,2
14408,8540,2,24773,2
15957,8060,2,8540,2
17485,8060,2,8060,2
19013,6779,2,8060,2
20470,9776,2,6779,3
21429,18118,3,9776,3
22821,19674,3,18118,4
23847,37175,4,19674,5
24994,17793,5,37175,5
25320,14829,5,17793,5
25332,25088,5,14829,6
24522,20406,6,25088,6
23089,18536,6,20406,6
21321,27649,6,18536,6
20762,21300,6,27649,6
19469,15126,6,21300,6
15469,13991,6,15126,6
11469,17569,6,13991,6
9499,10618,6,17569,6
5499,11668,6,10618,5
4999,12120,5,11668,5
4589,13252,5,12120,4
5191,8286,4,13252,5
3712,9321,5,8286,4
3767,8852,4,9321,4
3724,9091,4,8852,4
3732,11334,4,9091,4
4114,9092,4,11334,4
4123,12215,4,9092,4
4615,10447,4,12215,4
4868,8111,4,10447,5
3317,6755,5,8111,3
3855,10771,3,6755,4
4158,8129,4,10771,4
3942,7181,4,8129,4
3447,5726,4,7181,3
3741,9477,3,5726,4
3826,9680,4,9477,4
3949,9026,4,9680,4
3943,10525,4,9026,4
4209,10704,4,10525,4
4502,7197,4,10704,4
4013,9813,4,7197,4
4160,8213,4,9813,4
3966,5828,4,8213,4
2915,3995,4,5828,2
4064,3826,2,3995,3
3560,5231,3,3826,3
3701,5568,3,5231,3
3949,6940,3,5568,4
3371,4290,4,6940,3
3127,2008,3,4290,3
0,904,3,2008,1
2000,995,1,904,1
3096,3506,1,995,2
4141,5901,2,3506,3
4482,7021,3,5901,4
3932,1334,4,7021,4
0,434,4,1334,1
2000,1206,1,434,1
3237,1812,1,1206,2
3481,1129,2,1812,3
0,639,3,1129,1
2000,368,1,639,1
2000,284,1,368,1
2000,613,1,284,1
2596,2614,1,613,2
3348,2449,2,2614,3
2000,1618,3,2449,1
3405,2947,1,1618,2
4287,867,2,2947,3
287,2043,3,867,1
2000,2043,1,2043,1
3508,1452,1,2043,2
3343,3008,2,1452,3
2185,1920,3,3008,1
3669,4836,1,1920,2
4948,7758,2,4836,3
5663,3805,3,7758,4
1663,1796,4,3805,1
3117,2692,1,1796,2
3903,2450,2,2692,3
2049,2691,3,2450,1
3651,3816,1,2691,2
4765,472,2,3816,3
765,1632,3,472,1
2175,1640,1,1632,1
3587,1136,1,1640,2
2848,1745,2,1136,2
3029,1548,2,1745,2
2992,3691,2,1548,2
4080,3501,2,3691,3
3352,3088,3,3501,2
4281,3859,2,3088,3
3797,4415,3,3859,3
3614,3063,3,4415,3
2510,4059,3,3063,2
3672,2891,2,4059,3
2390,2499,3,2891,1
3970,4659,1,2499,2
5226,2907,2,4659,3
3962,2713,3,2907,3
2472,662,3,2713,1
3164,5626,1,662,2
4531,6752,2,5626,3
5068,7947,3,6752,4
4804,352,4,7947,3
804,715,3,352,1
2000,1229,1,715,1
3249,1986,1,1229,2
3639,2413,2,1986,2
4295,1976,2,2413,3
295,1760,3,1976,1
2000,1765,1,1760,1
3446,1394,1,1765,2
3195,2337,2,1394,2
3811,2201,2,2337,3
0,2121,3,2201,1
2000,773,1,2121,1
2866,1608,1,773,2
2901,2389,2,1608,2
3545,1373,2,2389,2
3261,3096,2,1373,2
4192,4118,2,3096,3
3858,4115,3,4118,3
3523,3903,3,4115,2
4654,5681,2,3903,3
4935,6485,3,5681,3
5416,7133,3,6485,4
4905,6051,4,7133,3
5285,7501,3,6051,3
5959,5778,3,7501,4
4882,8119,4,5778,3
5649,5467,3,8119,4
4403,6766,4,5467,3
4943,5004,3,6766,3
5005,5148,3,5004,3
5118,3720,3,5148,3
4545,7782,3,3720,3
5263,4603,3,7782,3
5165,974,3,4603,3
1165,1262,3,974,1
2432,1264,1,1262,1
3699,1785,1,1264,2
3919,1243,2,1785,3
0,1775,3,1243,1
2000,1775,1,1775,1
3449,5053,1,1775,2
4755,221,2,5053,3
755,558,3,221,1
2000,2406,1,558,1
3567,5131,1,2406,2
4882,6697,2,5131,3
5409,6946,3,6697,3
5984,7435,3,6946,4
5571,7012,4,7435,3
6159,9847,3,7012,4
6313,5913,4,9847,4
5304,7591,4,5913,3
5992,7708,3,7591,4
5661,5326,4,7708,3
5834,9307,3,5326,4
5886,16927,4,9307,4
6770,11286,4,16927,4
7146,6292,4,11286,4
6312,11473,4,6292,4
6713,4723,4,11473,4
4971,7351,4,4723,3
5620,3029,3,7351,3
4483,11663,3,3029,3
5594,7875,3,11663,3
6326,10765,3,7875,4
6628,9730,4,10765,4
6761,1070,4,9730,4
2761,7037,4,1070,2
4234,9035,2,7037,3
5116,18063,3,9035,3
6507,13816,3,18063,4
7162,8917,4,13816,4
7133,16496,4,8917,4
7991,16529,4,16496,4
8850,19715,4,16529,5
9330,19315,5,19715,5
9780,17751,5,19315,5
10103,27172,5,17751,5
10972,32996,5,27172,5
12024,16264,5,32996,5
12202,20280,5,16264,5
12722,16437,5,20280,5
12918,4221,5,16437,5
8918,19035,5,4221,5
9347,9355,5,19035,5
8255,21518,5,9355,5
8853,22095,5,21518,5
9486,18380,5,22095,5
9863,27328,5,18380,5
10738,10832,5,27328,5
10053,10569,5,10832,5
9304,15717,5,10569,5
9423,17664,5,15717,5
9738,11229,5,17664,5
9144,12331,5,11229,5
8774,21132,5,12331,5
9349,17351,5,21132,5
9635,14015,5,17351,5
9537,13846,5,14015,5
9415,21490,5,13846,5
10012,24085,5,21490,5
10750,18778,5,24085,5
11159,18566,5,18778,5
11550,11792,5,18566,5
11076,13998,5,11792,5
10976,14464,5,13998,5
10940,14037,5,14464,5
10845,20052,5,14037,5
11349,13601,5,20052,5
11190,17500,5,13601,5
11490,25976,5,17500,5
0,411,1,0,1
2000,4137,1,411,1
4000,4137,1,4137,1
6000,4527,1,4137,1
7523,4527,1,4527,1
9046,4706,1,4527,1
10576,4706,1,4706,1
12106,4348,1,4706,1
13622,4411,1,4348,2
14642,4401,2,4411,2
15661,4819,2,4401,2
16738,4872,2,4819,2
18022,3420,2,4872,2
19045,3292,2,3420,2
20034,4182,2,3292,3
19734,4198,3,4182,3
19443,3564,3,4198,3
18762,4115,3,3564,3
18427,4241,3,4115,3
18158,4811,3,4241,3
18146,4415,3,4811,4
16151,4588,4,4415,4
14302,4388,4,4588,4
10302,4516,4,4388,4
8394,4536,4,4516,3
8266,7628,3,4536,3
8960,8351,3,7628,3
9758,9778,3,8351,4
9899,7754,4,9778,4
9581,8812,4,7754,4
9529,9048,4,8812,4
9529,11051,4,9048,4
9872,10659,4,11051,4
10159,11845,4,10659,5
9695,14507,5,11845,5
9665,13785,5,14507,5
9534,10502,5,13785,5
8768,14210,5,10502,5
8697,15343,5,14210,5
8772,17560,5,15343,5
9078,17712,5,17560,5
9397,14682,5,17712,5
9390,20282,5,14682,5
9909,19442,5,20282,5
10369,21016,5,19442,5
10937,19701,5,21016,5
11416,21473,5,19701,5
12012,19554,5,21473,5
12480,19954,5,19554,6
10972,19315,6,19954,5
11423,17869,5,19315,5
11756,24224,5,17869,6
10849,22044,6,24224,5
11478,23262,5,22044,6
10455,24001,6,23262,6
9522,21732,6,24001,5
10134,15895,5,21732,6
6134,21176,6,15895,5
6712,18617,5,21176,5
7108,14306,5,18617,5
7050,18357,5,14306,5
7425,15967,5,18357,5
7572,11346,5,15967,5
7004,16270,5,11346,5
7183,10726,5,16270,5
6473,16546,5,10726,5
6680,23441,5,16546,5
7386,26883,5,23441,5
8244,25929,5,26883,5
9065,31458,5,25929,6
8803,26905,6,31458,6
8176,27149,6,26905,5
9044,30849,5,27149,6
8740,35957,6,30849,6
8749,31850,6,35957,6
8514,30232,6,31850,6
8165,33338,6,30232,6
8025,31352,6,33338,6
7756,32860,6,31352,6
7587,37600,6,32860,6
7678,39072,6,37600,6
7838,34112,6,39072,6
7745,29243,6,34112,6
7319,25317,6,29243,6
6533,61085,6,25317,5
7975,33425,5,61085,6
7841,26118,6,33425,6
7137,33282,6,26118,6
6994,32223,6,33282,6
6784,67233,6,32223,6
7672,33255,6,67233,6
7528,32465,6,33255,6
7333,35213,6,32465,6
7302,34896,6,35213,6
7253,70616,6,34896,6
8190,35682,6,70616,6
8185,31618,6,35682,6
7934,31917,6,31618,6
7704,18998,6,31917,6
6024,27587,6,18998,5
6910,32318,5,27587,6
6705,28442,6,32318,6
6215,24935,6,28442,6
5388,25474,6,24935,5
6189,50409,5,25474,6
6740,31434,6,50409,6
6476,30538,6,31434,6
6150,33131,6,30538,6
5997,33081,6,33131,6
5842,63577,6,33081,6
6672,35193,6,63577,6
6640,34987,6,35193,6
6596,31785,6,34987,6
6357,56912,6,31785,6
7062,45021,6,56912,6
7452,31323,6,45021,6
7181,30744,6,31323,6
6869,24308,6,30744,6
5972,26637,6,24308,6
5319,27252,6,26637,5
6192,26909,5,27252,6
5565,27809,6,26909,6
5019,24167,6,27809,5
5761,27240,5,24167,6
5165,20347,6,27240,5
5688,27327,5,20347,6
5100,26853,6,27327,5
5957,28890,5,26853,6
5504,28859,6,28890,6
5047,23465,6,28859,5
5754,21075,5,23465,6
4428,13285,6,21075,5
4220,12177,5,13285,5
3821,14506,5,12177,5
3791,14446,5,14506,5
3753,15232,5,14446,5
3814,15295,5,15232,5
3884,10182,5,15295,5
3034,14153,5,10182,4
3719,15907,4,14153,5
3858,14860,5,15907,5
3874,14809,5,14860,5
3884,15343,5,14809,5
3959,13449,5,15343,5
3777,14172,5,13449,5
3701,15561,5,14172,5
3802,15167,5,15561,5
3856,15198,5,15167,5
3913,13363,5,15198,5
3718,14388,5,13363,5
3672,17637,5,14388,5
3985,14489,5,17637,5
3952,13495,5,14489,5
3778,13162,5,13495,5
3550,9450,5,13162,5
2488,4505,5,9450,2
3722,5659,2,4505,3
3996,10067,3,5659,4
4188,10778,4,10067,5
3490,12778,5,10778,4
4044,10778,4,12778,5
3346,8634,5,10778,4
3254,8299,4,8634,4
3082,10948,4,8299,4
3411,14368,4,10948,4
4114,17373,4,14368,5
4402,11817,5,17373,5
3933,13223,5,11817,5
3715,16627,5,13223,5
3931,14037,5,16627,5
3836,14191,5,14037,5
3763,13062,5,14191,5
3520,8922,5,13062,4
3492,12571,4,8922,4
4024,8813,4,12571,5
2747,15183,5,8813,3
4041,10876,3,15183,4
4360,14401,4,10876,5
4316,11169,5,14401,5
3709,14107,5,11169,5
3624,15398,5,14107,5
3706,16580,5,15398,5
3917,15972,5,16580,5
4064,14325,5,15972,5
4009,15228,5,14325,5
4070,17124,5,15228,5
4335,15332,5,17124,5
4409,14577,5,15332,5
4389,11323,5,14577,5
3816,15699,5,11323,5
3932,13409,5,15699,5
3744,16494,5,13409,5
3947,20812,5,16494,5
4501,12955,5,20812,5
4240,8120,5,12955,5
2692,10244,5,8120,3
3694,12130,3,10244,4
4176,22612,4,12130,5
4838,13914,5,22612,5
4725,18700,5,13914,5
5128,18331,5,18700,5
5501,17523,5,18331,5
5803,17631,5,17523,5
6115,19168,5,17631,6
4467,12358,6,19168,5
4102,7869,5,12358,5
2444,7488,5,7869,2
3943,17673,2,7488,3
5323,14082,3,17673,4
6001,13143,4,14082,5
5771,16083,5,13143,5
5930,13170,5,16083,6
1930,3249,6,13170,1
3584,8093,1,3249,2
5113,10465,2,8093,3
6134,9561,3,10465,4
6235,10084,4,9561,5
5359,13658,5,10084,5
5209,9731,5,13658,5
4231,8951,5,9731,5
3003,11232,5,8951,4
3372,6383,4,11232,4
2578,7946,4,6383,3
3320,7971,3,7946,4
3062,11653,4,7971,4
3486,10413,4,11653,4
0,14704,1,0,1
2000,3046,1,14704,1
4000,3046,1,3046,1
6000,3243,1,3046,1
7653,3247,1,3243,1
9306,3247,1,3247,1
10960,3409,1,3247,1
12625,3413,1,3409,1
14291,3413,1,3413,1
15957,30514,1,3413,1
17831,9486,1,30514,2
19414,9486,2,9486,2
20998,10126,2,9486,2
22602,18629,2,10126,3
24008,45618,3,18629,3
25706,19263,3,45618,4
26713,33042,4,19263,5
27766,19658,5,33042,5
28242,17552,5,19658,5
28304,17146,5,17552,6
24000,23999,6,17146,6
23066,22239,6,23999,6
21908,20100,6,22239,6
20425,24176,6,20100,6
19513,25842,6,24176,6
18781,25911,6,25842,6
18057,21288,6,25911,6
16763,16393,6,21288,6
12763,24043,6,16393,6
11835,34813,6,24043,6
11781,24312,6,34813,6
10884,22841,6,24312,6
9807,38776,6,22841,6
9954,22934,6,38776,6
8889,22801,6,22934,6
7807,12542,6,22801,6
3807,15279,6,12542,4
4581,17783,4,15279,5
4906,13259,5,17783,5
4695,12927,5,13259,5
4429,21036,5,12927,5
4998,14630,5,21036,5
4984,17988,5,14630,5
5327,13324,5,17988,5
5126,22962,5,13324,5
5807,24137,5,22962,5
6547,21475,5,24137,5
7143,20125,5,21475,6
5664,14546,6,20125,5
5639,21199,5,14546,5
6218,12262,5,21199,5
5835,6750,5,12262,5
1835,3386,5,6750,1
3499,8986,1,3386,2
5065,15493,2,8986,3
6371,18383,3,15493,4
7336,15578,4,18383,6
3336,13287,6,15578,4
3941,10435,4,13287,5
3158,13193,5,10435,3
4361,15235,3,13193,4
5132,17992,4,15235,5
5475,10748,5,17992,5
4770,19430,5,10748,5
5229,11591,5,19430,5
4714,17007,5,11591,5
4968,17252,5,17007,5
5245,16049,5,17252,5
5400,21144,5,16049,5
5976,33175,5,21144,5
7032,22459,5,33175,6
5904,19870,6,22459,5
6395,12630,5,19870,5
6078,21991,5,12630,5
6705,26566,5,21991,6
6045,32079,6,26566,5
7072,21551,5,32079,6
5817,15179,6,21551,5
5873,19499,5,15179,5
6337,16436,5,19499,5
6533,20119,5,16436,6
5053,24623,6,20119,5
5816,10207,5,24623,5
4973,18731,5,10207,5
5378,18402,5,18731,5
5757,21136,5,18402,5
6332,16890,5,21136,5
6574,17902,5,16890,6
4676,21919,6,17902,5
5298,23736,5,21919,5
6019,20960,5,23736,5
6583,24432,5,20960,6
5700,22635,6,24432,5
6363,20300,5,22635,6
4913,21669,6,20300,5
5521,16584,5,21669,5
5733,19270,5,16584,5
6180,24735,5,19270,5
6948,12288,5,24735,6
2948,16568,6,12288,3
4292,13503,3,16568,4
4919,16315,4,13503,5
5103,10948,5,16315,5
4445,10351,5,10948,5
3640,12401,5,10351,4
4153,13157,4,12401,5
3925,14183,5,13157,5
3851,12593,5,14183,5
3528,13789,5,12593,4
4180,10763,4,13789,5
3479,16256,5,10763,4
4321,18420,4,16256,5
4701,16113,5,18420,5
4863,10920,5,16113,5
4199,13343,5,10920,5
4001,16298,5,13343,5
4183,18056,5,16298,5
4532,17390,5,18056,5
4822,27240,5,17390,5
5694,14684,5,27240,5
5688,15374,5,14684,5
5766,16656,5,15374,5
5985,18907,5,16656,5
6404,22148,5,18907,6
5234,8119,6,22148,5
3685,9484,5,8119,4
3772,9199,4,9484,4
3802,7693,4,9199,5
2063,2618,5,7693,1
3657,5066,1,2618,2
4965,6814,2,5066,3
5515,8107,3,6814,4
5294,7585,4,8107,5
3502,12668,5,7585,4
4045,15497,4,12668,5
4138,12505,5,15497,5
3799,4652,5,12505,4
2002,3054,4,4652,1
3640,6997,1,3054,2
5111,10964,2,6997,3
6172,12843,3,10964,4
6733,15952,4,12843,5
6878,15168,5,15952,6
2878,10500,6,15168,3
3902,8503,3,10500,4
3779,5829,4,8503,4
2728,7358,4,5829,3
3378,7004,3,7358,4
2823,4240,4,7004,3
2553,9722,3,4240,2
4144,5109,2,9722,3
4244,6753,3,5109,4
3597,6787,4,6753,4
2963,7151,4,6787,3
3576,2782,3,7151,4
0,2207,4,2782,1
2000,1760,1,2207,1
3445,2614,1,1760,2
4198,3651,2,2614,3
3578,4687,3,3651,4
2000,2174,4,4687,1
3532,5071,1,2174,2
4840,3625,2,5071,3
4202,7599,3,3625,4
3839,3680,4,7599,4
0,2249,4,3680,1
2000,5427,1,2249,1
3752,3978,1,5427,2
4898,6526,2,3978,3
5388,9750,3,6526,4
5524,11792,4,9750,5
5050,10628,5,11792,5
4316,8269,5,10628,5
2830,7492,5,8269,3
3502,4194,3,7492,4
0,2922,4,4194,1
2000,2922,1,2922,1
3626,6609,1,2922,2
5072,9431,2,6609,3
5996,10088,3,9431,4
6191,13008,4,10088,5
5939,12510,5,13008,5
5601,5888,5,12510,5
1601,2335,5,5888,1
3158,4122,1,2335,2
4330,7533,2,4122,3
5009,11244,3,7533,4
5380,10230,4,11244,5
4543,15313,5,10230,5
4614,9964,5,15313,5
3704,13860,5,9964,4
4363,13502,4,13860,5
4190,14133,5,13502,5
4108,12954,5,14133,4
4681,11271,4,12954,5
4097,5913,5,11271,4
3088,4845,4,5913,3
3090,7610,3,4845,3
3781,5120,3,7610,4
2322,4132,4,5120,2
3496,5052,2,4132,3
3575,5886,3,5052,4
2553,4407,4,5886,2
3772,5666,2,4407,3
4048,4679,3,5666,4
2273,4423,4,4679,2
3494,8186,2,4423,3
4271,10292,3,8186,4
4499,6689,4,10292,5
499,9791,5,6689,1
2318,4374,1,9791,2
3532,6195,2,4374,3
3947,6142,3,6195,4
3046,6290,4,6142,3
3484,5700,3,6290,4
2367,3505,4,5700,2
3411,5882,2,3505,3
3747,4885,3,5882,4
2126,1834,4,4885,1
3590,2486,1,1834,2
4284,2422,2,2486,3
2386,10534,3,2422,2
4001,10572,2,10534,3
5031,12698,3,10572,4
5577,6550,4,12698,5
1577,2047,5,6550,1
0,10424,1,0,1
2000,10424,1,10424,1
4000,13144,1,10424,1
6000,13213,1,13144,1
7639,13213,1,13213,1
9278,12226,1,13213,1
10913,12208,1,12226,1
12547,12208,1,12208,1
14182,10934,1,12208,1
15809,10912,1,10934,1
17436,11071,1,10912,2
18865,15863,2,11071,2
20575,7155,2,15863,2
22056,11310,2,7155,3
23143,10861,3,11310,3
24196,11117,3,10861,4
24549,7167,4,11117,5
20549,15750,5,7167,5
20671,13236,5,15750,5
20456,10777,5,13236,5
19757,13449,5,10777,5
19576,8862,5,13449,5
18316,15999,5,8862,5
18466,16914,5,15999,5
18711,21135,5,16914,5
19286,24038,5,21135,6
18357,23696,6,24038,6
17388,32775,6,23696,6
17213,29560,6,32775,6
16812,36782,6,29560,6
16864,27953,6,36782,6
16331,25110,6,27953,6
15523,21598,6,25110,6
14275,28110,6,21598,6
13756,26234,6,28110,6
13064,16642,6,26234,6
9064,15712,6,16642,6
5064,13189,6,15712,5
4841,14753,5,13189,5
4843,5034,5,14753,5
843,8869,5,5034,1
2653,5323,1,8869,2
3989,7005,2,5323,3
4576,12032,3,7005,4
5047,10070,4,12032,5
4166,5481,5,10070,4
2928,10684,4,5481,3
3967,7606,3,10684,4
3606,15032,4,7606,4
4362,12530,4,15032,5
4028,15631,5,12530,4
4827,23656,4,15631,5
5544,21652,5,23656,5
6150,24993,5,21652,5
6930,22251,5,24993,5
7572,44456,5,22251,6
7942,23932,6,44456,6
7001,15501,6,23932,5
7095,14273,5,15501,5
7033,22306,5,14273,5
7678,26776,5,22306,6
7038,17734,6,26776,5
7359,21087,5,17734,6
6035,8293,6,21087,5
4559,4094,5,8293,5
559,2617,5,4094,1
2153,6051,1,2617,1
3921,4158,1,6051,2
5099,4781,2,4158,3
5075,3509,3,4781,4
1075,2549,4,3509,1
2661,4835,1,2549,2
3941,6800,2,4835,3
4488,11224,3,6800,4
4856,8644,4,11224,5
3517,5189,5,8644,4
2103,4988,4,5189,1
3842,3645,1,4988,2
4919,5339,2,3645,3
5096,3623,3,5339,4
1096,2201,4,3623,1
2633,3731,1,2201,2
3729,4373,2,3731,3
3525,5257,3,4373,4
2154,2274,4,5257,1
3702,3952,1,2274,2
4843,5208,2,3952,3
4976,6057,3,5208,4
4037,4370,4,6057,4
37,2112,4,4370,1
2000,2112,1,2112,1
3521,1883,1,2112,2
3828,4893,2,1883,3
3849,8266,3,4893,4
3668,7205,4,8266,4
3181,6849,4,7205,3
3737,9852,3,6849,4
3892,2763,4,9852,4
0,2726,4,2763,1
2000,10360,1,2726,1
3822,5819,1,10360,2
5207,8896,2,5819,3
6073,7444,3,8896,4
5662,4200,4,7444,5
1662,2835,5,4200,1
3280,6109,1,2835,2
4689,8447,2,6109,3
5500,8378,3,8447,4
5347,6147,4,8378,5
1347,2943,5,6147,1
2975,7435,1,2943,2
4472,11195,2,7435,3
5550,10060,3,11195,4
5741,10978,4,10060,5
5090,6670,5,10978,5
1090,2248,5,6670,1
2634,5461,1,2248,2
3985,4620,2,5461,3
3894,5811,3,4620,4
2835,4813,4,5811,2
4111,6353,2,4813,3
4563,9513,3,6353,4
4655,8122,4,9513,4
4438,9440,4,8122,4
4516,6729,4,9440,4
3860,10318,4,6729,4
4093,11468,4,10318,4
4493,8535,4,11468,4
4378,13756,4,8535,4
5028,12142,4,13756,5
4622,12485,5,12142,4
5144,6839,4,12485,5
1144,3247,5,6839,1
2798,8126,1,3247,2
4329,9391,2,8126,3
5249,6935,3,9391,4
4669,8715,4,6935,4
4596,9876,4,8715,4
4754,8326,4,9876,4
4589,4342,4,8326,4
589,2980,4,4342,1
2220,2837,1,2980,1
3838,5953,1,2837,2
5234,8340,2,5953,3
6031,9787,3,8340,4
6174,13368,4,9787,5
5979,11761,5,13368,5
5499,17294,5,11761,5
5780,10978,5,17294,5
5129,12966,5,10978,5
4870,11424,5,12966,5
4319,10528,5,11424,4
4585,10019,4,10528,4
4769,9139,4,10019,4
4787,9902,4,9139,4
4950,8789,4,9902,5
3664,8261,5,8789,3
4451,5539,3,8261,4
3246,7088,4,5539,3
3848,10593,3,7088,4
4124,12762,4,10593,4
4677,11774,4,12762,4
5116,11545,4,11774,5
4591,9624,5,11545,4
4704,18950,4,9624,4
5696,13927,4,18950,5
5586,11154,5,13927,5
4976,4239,5,11154,5
976,17236,5,4239,1
2829,7468,1,17236,2
4327,17550,2,7468,3
5703,7069,3,17550,4
5170,15279,4,7069,5
5238,8863,5,15279,5
3979,14033,5,8863,4
4653,13556,4,14033,4
5284,7362,4,13556,5
3381,9337,5,7362,3
4296,11402,3,9337,4
4688,13817,4,11402,4
5343,16263,4,13817,5
5521,11127,5,16263,5
4905,7405,5,11127,5
3024,10033,5,7405,3
4007,12971,3,10033,4
4581,11817,4,12971,4
5026,11574,4,11817,5
4507,13218,5,11574,4
5105,18123,4,13218,5
5460,21315,5,18123,5
6047,23200,5,21315,5
6740,20094,5,23200,5
7247,27742,5,20094,5
8137,16385,5,27742,5
8328,20689,5,16385,5
8875,19570,5,20689,6
7301,16393,6,19570,5
7493,15008,5,16393,5
7527,10374,5,15008,5
6728,15559,5,10374,5
6828,16409,5,15559,5
7022,10192,5,16409,5
6175,25465,5,10192,5
6975,26995,5,25465,5
7838,22748,5,26995,5
8507,30551,5,22748,6
8182,17078,6,30551,5
8442,24127,5,17078,6
7524,19952,6,24127,5
8020,21491,5,19952,5
8618,25610,5,21491,6
7862,15446,6,25610,5
7950,9947,5,15446,5
7035,14191,5,9947,5
6962,22844,5,14191,5
7636,32235,5,22844,5
8668,29855,5,32235,6
8290,23363,6,29855,6
7279,22420,6,23363,5
7930,24589,5,22420,5
8692,26971,5,24589,6
8071,24171,6,26971,6
7157,14810,6,24171,5
7167,11292,5,14810,5
6587,13628,5,11292,5
6433,15670,5,13628,5
0,12874,1,0,1
2000,12874,1,12874,1
4000,12874,1,12874,1
6000,11436,1,12874,1
7630,11436,1,11436,1
9260,15201,1,11436,1
10907,15301,1,15201,1
12555,15301,1,15301,1
14202,13264,1,15301,1
15842,13229,1,13264,1
17482,13422,1,13229,2
18958,11560,2,13422,2
20399,13082,2,11560,2
22069,11195,2,13082,3
23148,12397,3,11195,3
24306,17774,3,12397,4
25238,24276,4,17774,5
25985,19018,5,24276,5
26412,8401,5,19018,5
24980,11860,5,8401,5
24519,18373,5,11860,6
22718,20148,6,18373,6
21243,21463,6,20148,6
19975,23409,6,21463,6
18970,25615,6,23409,6
18215,27759,6,25615,6
17666,26761,6,27759,6
17025,14592,6,26761,6
13025,25907,6,14592,6
12300,24899,6,25907,6
11469,14776,6,24899,6
7469,7961,6,14776,5
5852,12496,5,7961,5
5511,9077,5,12496,5
4327,11141,5,9077,4
4683,14596,4,11141,5
4665,9715,5,14596,5
3683,12377,5,9715,4
4193,14093,4,12377,4
4873,12627,4,14093,5
4556,10389,5,12627,5
3761,9923,5,10389,4
3927,19944,4,9923,4
4965,15645,4,19944,5
5075,16654,5,15645,5
5294,7813,5,16654,5
3611,12614,5,7813,4
4147,12432,4,12614,4
4663,12716,4,12432,5
4362,7134,5,12716,4
3851,13461,4,7134,4
4473,12378,4,13461,5
4111,15107,5,12378,4
4873,15871,4,15107,5
5008,12344,5,15871,5
4640,17246,5,12344,5
4917,16843,5,17246,5
5154,16420,5,16843,5
5349,16124,5,16420,5
5513,18303,5,16124,5
5883,21558,5,18303,5
6484,21187,5,21558,5
7063,21063,5,21187,5
7633,21884,5,21063,6
6426,13759,6,21884,5
6291,13638,5,13759,5
6138,18044,5,13638,5
6486,13562,5,18044,5
6322,16373,5,13562,5
6512,17495,5,16373,5
6811,18178,5,17495,5
7171,20025,5,18178,5
7673,21885,5,20025,6
6466,15492,6,21885,5
6559,18375,5,15492,5
6935,8489,5,18375,5
5537,19796,5,8489,5
6022,22018,5,19796,5
6651,18721,5,22018,5
7055,31286,5,18721,5
8060,20820,5,31286,6
6694,14037,6,20820,5
6599,18138,5,14037,5
6956,20662,5,18138,5
7501,21480,5,20662,6
6235,13818,6,21480,5
6109,7018,5,13818,5
2109,2399,5,7018,1
3675,4325,1,2399,2
4882,6849,2,4325,3
5439,13776,3,6849,4
6090,16730,4,13776,5
6317,13190,5,16730,5
6094,12668,5,13190,5
5784,9253,5,12668,5
4658,16507,5,9253,5
4862,11401,5,16507,5
4306,12090,5,11401,5
3890,14089,5,12090,4
4569,8458,4,14089,5
3159,6360,5,8458,3
3612,4850,3,6360,4
