Buffer, Bandwidth, PreviousQuality, PreviousBandwidth, Quality
3941,1710,1,992,2
4087,1743,2,1710,2
4266,1011,2,1743,2
3201,1600,2,1011,2
3226,1099,2,1600,2
2397,712,2,1099,1
3175,684,1,712,2
0,339,2,684,1
2000,116,1,339,1
0,317,1,116,1
2000,311,1,317,1
2000,593,1,311,1
2552,157,1,593,1
0,1021,1,157,1
2000,1409,1,1021,1
3332,676,1,1409,2
0,719,2,676,1
2000,67,1,719,1
0,1588,1,67,1
2000,1588,1,1588,1
3396,2035,1,1588,2
3822,960,2,2035,2
2598,85,2,960,1
0,357,1,85,1
2000,236,1,357,1
2000,178,1,236,1
0,1855,1,178,1
2000,1857,1,1855,1
3469,3547,1,1857,2
4523,3091,2,3547,2
0,9,1,0,1
0,9,1,9,1
0,211,1,9,1
0,398,1,211,1
2000,677,1,398,1
4000,1060,1,677,1
6000,1214,1,1060,1
7041,1034,1,1214,1
7967,1534,1,1034,1
9146,1549,1,1534,1
10330,877,1,1549,1
11118,811,1,877,1
11832,1093,1,811,1
13000,875,1,1093,1
13986,372,1,875,1
13737,717,1,372,1
14522,631,1,717,1
15155,506,1,631,1
15476,803,1,506,1
16381,1649,1,803,1
17796,723,1,1649,1
18590,1458,1,723,1
19941,378,1,1458,1
19727,76,1,378,1
15727,1319,1,76,1
17021,1223,1,1319,1
18267,1221,1,1223,1
19512,1234,1,1221,1
20764,128,1,1234,1
16764,145,1,128,1
12764,679,1,145,1
13487,379,1,679,1
13281,713,1,379,1
14059,379,1,713,1
13848,561,1,379,1
14325,666,1,561,1
15024,673,1,666,1
15736,612,1,673,1
16330,752,1,612,1
17167,483,1,752,1
17412,442,1,483,1
17504,137,1,442,1
13504,87,1,137,1
9504,554,1,87,1
9960,3333,1,554,1
11620,546,1,3333,1
12057,9,1,546,1
8057,1,1,9,1
4057,3,1,1,1
57,3,1,3,1
0,40,1,3,1
0,14,1,40,1
0,11,1,14,1
0,12,1,11,1
0,0,1,12,1
0,5,1,0,1
0,0,1,5,1
0,1,1,0,1
0,2,1,1,1
0,10,1,2,1
0,5,1,10,1
0,1,1,5,1
0,9,1,1,1
0,1,1,9,1
0,0,1,1,1
0,2,1,0,1
0,0,1,2,1
0,9,1,0,1
0,1,1,9,1
0,9,1,1,1
0,8,1,9,1
0,0,1,8,1
0,0,1,0,1
0,1,1,0,1
0,9,1,1,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,8,1,9,1
0,0,1,8,1
0,9,1,0,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,8,1,9,1
0,9,1,8,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,8,1,9,1
0,9,1,8,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
0,9,1,9,1
